value,attack_cat
7.914728858974759,Backdoor
7.899714203114872,Backdoor
11.820238059618116,Backdoor
6.914564482345729,Backdoor
8.360007121599244,Backdoor
5.799771183719408,Backdoor
5.625898268782732,Backdoor
8.06102058119728,Backdoor
7.039685931682943,Backdoor
7.695638934467955,Backdoor
6.838598562735746,Backdoor
5.229593133288252,Backdoor
7.914728858974759,Backdoor
6.783139686886026,Backdoor
6.60265464526097,Backdoor
8.40052608388351,Backdoor
6.64641440273655,Backdoor
4.407649105067088,Backdoor
11.810905899935616,Backdoor
4.870287285339436,Backdoor
7.914728858974759,Backdoor
6.527846451986413,Analysis
7.899714203114872,Backdoor
9.850661918033554,Backdoor
8.668486142964367,Backdoor
6.56662981211265,Analysis
4.776580547110794,Backdoor
6.004153877390008,Analysis
6.004153877390008,Backdoor
6.138105343486162,Analysis
7.477592912449074,Analysis
7.477592912449074,Analysis
6.964149581533065,Backdoor
7.960429450566097,Analysis
6.682344121026017,Backdoor
6.557393805744579,Analysis
6.368337467883146,Analysis
8.88936397120058,Backdoor
6.004153877390008,Backdoor
6.850490323948767,Backdoor
6.964149581533065,Analysis
6.290390791375597,Backdoor
6.964149581533065,Analysis
6.56662981211265,Backdoor
13.149983355407173,Backdoor
7.559238486990303,Backdoor
7.00682040087891,Backdoor
6.019152607163854,Backdoor
9.082415889982029,Backdoor
7.730867695426082,Backdoor
9.064229882189473,Backdoor
7.111765371650398,Analysis
6.137275541942596,Backdoor
11.8576983934887,Analysis
4.697888580704983,Backdoor
12.36876311742494,Analysis
6.60265464526097,Analysis
7.730867695426082,Backdoor
5.65948048139025,Backdoor
4.407649105067088,Analysis
4.237320944943829,Analysis
6.110520817205199,Analysis
6.450597961286998,Backdoor
4.870287285339436,Analysis
11.647566887914348,Backdoor
6.213759496567612,Backdoor
5.354081546126151,Backdoor
9.439748155295444,Analysis
7.43491561308412,Analysis
6.588099932130021,Backdoor
7.43491561308412,Backdoor
6.385340113390187,Backdoor
7.477592912449074,Backdoor
7.477592912449074,Backdoor
5.392553661545315,Analysis
7.188445124661474,Backdoor
5.8762501393781,Backdoor
4.869236513642334,Backdoor
7.6716339671610205,Backdoor
4.776580547110794,Backdoor
6.368337467883146,Analysis
6.196167917889678,Analysis
6.650333974536866,Backdoor
7.559238486990303,Backdoor
6.925025149261531,Backdoor
7.00682040087891,Analysis
5.392553661545315,Backdoor
7.559238486990303,Backdoor
5.646522805016946,Backdoor
7.6716339671610205,Backdoor
7.6716339671610205,Backdoor
6.66158860984165,Backdoor
7.3213332810287985,Backdoor
6.004153877390008,Backdoor
6.138105343486162,Analysis
6.138105343486162,Backdoor
4.697888580704983,Analysis
12.36876311742494,Backdoor
7.477592912449074,Analysis
7.730867695426082,Analysis
6.6599453888562765,Analysis
7.960429450566097,Analysis
6.908377893258131,Analysis
6.986951348675222,Backdoor
6.654136460871955,Backdoor
20.990969873159344,Backdoor
22.62326058236325,Fuzzers
6.196167917889678,Analysis
6.450597961286998,Backdoor
6.527846451986413,Backdoor
10.68245762462687,Backdoor
6.6599453888562765,Backdoor
18.24698513049845,Fuzzers
6.527846451986413,Backdoor
6.908377893258131,Backdoor
4.407649105067088,Backdoor
23.608142699922844,Fuzzers
4.31184877164882,Backdoor
6.587042342038076,Backdoor
9.135177896779531,Backdoor
6.413438489529291,Backdoor
6.654136460871955,Backdoor
8.357161149996099,Fuzzers
4.993807561495481,Backdoor
9.95571197999361,Backdoor
5.65948048139025,Backdoor
6.925025149261531,Analysis
6.458865708782999,Backdoor
6.838598562735746,Backdoor
5.392553661545315,Analysis
7.057578716535314,Analysis
7.25834753628436,Backdoor
7.730867695426082,Backdoor
6.222260098422077,Backdoor
7.58858300191566,Backdoor
6.488464308492491,Backdoor
5.501256747818625,Backdoor
6.898205057164664,Backdoor
6.56662981211265,Backdoor
6.527846451986413,Analysis
6.82942803211153,Analysis
7.559238486990303,Backdoor
6.649149023433156,Backdoor
6.649149023433156,Backdoor
6.290390791375597,Backdoor
6.527846451986413,Analysis
6.527846451986413,Backdoor
6.82942803211153,Backdoor
9.360947926554289,Backdoor
7.89890690265784,Backdoor
5.354081546126151,Backdoor
7.596229764221055,Backdoor
6.850490323948767,Backdoor
6.825421166595564,Backdoor
6.915877384836359,Backdoor
6.213759496567612,Backdoor
6.354171479199516,Backdoor
6.668360286775051,Backdoor
6.385340113390187,Backdoor
6.974386518288537,Backdoor
8.796108518974565,Backdoor
7.6716339671610205,Backdoor
6.474323659631153,Backdoor
12.310077371398949,Backdoor
7.58045572353149,Backdoor
4.721395368271701,Backdoor
6.632217716647266,Backdoor
6.241619940325156,Backdoor
7.322184698915606,Analysis
6.56662981211265,Backdoor
6.290055203402614,Backdoor
12.095137327792315,Analysis
7.559238486990303,Analysis
8.526670241395076,Analysis
7.89890690265784,Backdoor
6.668360286775051,Backdoor
6.368337467883146,Backdoor
7.559238486990303,Backdoor
8.40052608388351,Analysis
7.559238486990303,Backdoor
7.885666323652236,Backdoor
7.071604108146421,Analysis
6.442178118016957,Backdoor
7.730867695426082,Backdoor
5.646522805016946,Backdoor
6.64641440273655,Analysis
6.004153877390008,Analysis
7.6716339671610205,Analysis
7.6716339671610205,Backdoor
7.111765371650398,Backdoor
12.310077371398949,Analysis
11.8576983934887,Backdoor
4.721395368271701,Analysis
13.80383873958616,Fuzzers
4.697888580704983,Analysis
14.609864829169258,Fuzzers
12.095137327792315,Backdoor
6.66158860984165,Backdoor
11.810905899935616,Analysis
7.322184698915606,Backdoor
7.559238486990303,Backdoor
1.3977953330473174,Fuzzers
8.526670241395076,Backdoor
10.68245762462687,Analysis
0.908987749899938,Fuzzers
7.559238486990303,Analysis
10.700041951295455,Backdoor
7.071604108146421,Backdoor
7.58858300191566,Backdoor
4.237320944943829,Backdoor
6.110520817205199,Backdoor
21.22924371047926,Fuzzers
7.057578716535314,Backdoor
5.354081546126151,Analysis
9.439748155295444,Backdoor
7.43491561308412,Analysis
7.477592912449074,Analysis
7.477592912449074,Backdoor
6.986951348675222,Backdoor
6.019152607163854,Analysis
5.392553661545315,Backdoor
6.413438489529291,Backdoor
11.235302105207596,Fuzzers
6.527846451986413,Backdoor
19.00412340052035,Fuzzers
13.80383873958616,Fuzzers
7.188445124661474,Analysis
15.94407596313512,Fuzzers
6.986951348675222,Backdoor
6.82942803211153,Backdoor
6.527846451986413,Backdoor
11.810905899935616,Fuzzers
10.300226882306877,Fuzzers
14.609864829169258,Fuzzers
6.196167917889678,Analysis
7.334787961698791,Fuzzers
4.869236513642334,Analysis
15.798416788385447,Fuzzers
6.368337467883146,Backdoor
6.2937122410085,Analysis
6.196167917889678,Backdoor
7.00682040087891,Backdoor
6.004153877390008,Backdoor
14.609864829169258,Fuzzers
8.405450033267513,Fuzzers
11.235302105207596,Fuzzers
15.798416788385447,Fuzzers
6.654136460871955,Analysis
23.63084087779673,Backdoor
6.964149581533065,Backdoor
6.019152607163854,Analysis
5.878989105415402,Backdoor
6.137275541942596,Backdoor
5.120849284701392,Backdoor
7.182668802296484,Backdoor
7.89890690265784,Backdoor
7.683641148084421,Backdoor
7.215704069924721,Backdoor
6.156383818866177,Backdoor
7.885666323652236,Backdoor
4.5535175307319005,Backdoor
9.586560643470351,Backdoor
9.745787397047309,Backdoor
6.019152607163854,Backdoor
6.413438489529291,Backdoor
5.71488383698358,Backdoor
6.56662981211265,Backdoor
11.484541213731012,Backdoor
6.419934847657375,Fuzzers
11.238579385599756,Fuzzers
7.448454633460714,Backdoor
10.531636571406215,Backdoor
6.868210814463652,Backdoor
16.893759677336973,Fuzzers
18.18702998167842,Fuzzers
15.86672142866434,Fuzzers
16.4043607482006,Fuzzers
16.495788250374513,Fuzzers
21.343523596718374,Fuzzers
6.527846451986413,Analysis
8.972017229149634,Fuzzers
16.4043607482006,Fuzzers
11.265771960631223,Fuzzers
14.055683395941774,Fuzzers
10.740310922970556,Backdoor
15.684899457486583,Fuzzers
9.422833408456407,Backdoor
6.196167917889678,Backdoor
14.55219414144761,Fuzzers
4.407649105067088,Analysis
6.450597961286998,Analysis
9.082415889982029,Backdoor
4.31184877164882,Analysis
4.237320944943829,Analysis
21.527258090336847,Fuzzers
6.825421166595564,Analysis
4.993807561495481,Analysis
15.94407596313512,Fuzzers
6.650333974536866,Analysis
11.265771960631223,Fuzzers
4.753586843717075,Backdoor
6.56662981211265,Backdoor
7.334787961698791,Fuzzers
6.004153877390008,Analysis
8.357161149996099,Fuzzers
10.291247230958504,Fuzzers
8.000178614602614,Backdoor
7.477592912449074,Backdoor
1.0196549302339455,Fuzzers
14.609864829169258,Fuzzers
19.00412340052035,Fuzzers
8.357161149996099,Fuzzers
5.65948048139025,Analysis
15.830138946692164,Fuzzers
4.697888580704983,Backdoor
6.850490323948767,Backdoor
6.442178118016957,Backdoor
7.43491561308412,Backdoor
7.960429450566097,Backdoor
7.25834753628436,Backdoor
11.810905899935616,Backdoor
16.9683085123333,Backdoor
7.683641148084421,Fuzzers
5.119291724173549,Analysis
10.696406452076603,Fuzzers
6.290055203402614,Backdoor
7.730867695426082,Backdoor
6.56662981211265,Analysis
9.806358106910594,Backdoor
6.004153877390008,Backdoor
6.557393805744579,Backdoor
6.2937122410085,Backdoor
32.535072613793105,Fuzzers
