value,class
4.490941187742821,anomaly
6.879440569328593,anomaly
5.1069410649842295,anomaly
5.288192912226527,anomaly
4.549647383380416,anomaly
4.2902894518930585,anomaly
7.253489901036118,anomaly
5.398903347934267,anomaly
3.441603191360348,anomaly
5.201052502520325,anomaly
5.172758580880975,anomaly
1.9838880700908248,anomaly
4.549647383380416,anomaly
4.687964298745764,anomaly
5.172758580880975,anomaly
5.398903347934267,anomaly
3.2046574984134364,anomaly
5.841076757542385,anomaly
4.5958790417436575,anomaly
4.981402581974672,anomaly
5.4839720122534406,anomaly
5.559496920926071,anomaly
5.492873443557425,anomaly
5.442211245807632,anomaly
4.294757388582772,anomaly
3.5427305837100644,anomaly
5.048018843465476,anomaly
7.040039297294792,anomaly
6.1306363198161815,anomaly
2.8911816712042246,anomaly
5.442211245807632,anomaly
5.373396931714828,anomaly
7.040039297294792,anomaly
9.495064260309904,anomaly
7.646135153592484,anomaly
5.625711696337986,anomaly
6.188667543113231,anomaly
7.4265078574221155,anomaly
4.343835671214085,anomaly
4.490941187742821,anomaly
5.067456708266932,anomaly
5.572149049162066,anomaly
8.183055568861603,anomaly
7.465147349064237,anomaly
5.083148385493994,anomaly
3.1461480489479445,anomaly
5.47559113463256,anomaly
5.272569850265367,anomaly
6.745525894786088,anomaly
7.925593887550391,anomaly
4.631139334091147,anomaly
4.490941187742821,anomaly
10.489683223036115,anomaly
5.955607318995981,anomaly
7.311044083865998,anomaly
6.993714428004068,anomaly
7.104839202626781,anomaly
4.72294031208564,anomaly
5.414053637287541,anomaly
4.2902894518930585,anomaly
7.38745240746607,anomaly
4.656773758388222,anomaly
5.4100930500977,anomaly
3.401325548831403,anomaly
4.656773758388222,anomaly
7.01991043983411,anomaly
7.330000952637005,anomaly
3.451188234272258,anomaly
3.2472006360392496,anomaly
5.3945690387983065,anomaly
4.100181556975863,anomaly
4.343835671214085,anomaly
4.210126742153002,anomaly
5.073259603194932,anomaly
4.390303312797167,anomaly
3.1702055907878552,anomaly
4.704651177486013,anomaly
5.142328582059684,anomaly
6.432939036115084,anomaly
4.343835671214085,anomaly
4.54948227244641,anomaly
8.147882758646553,anomaly
8.621219230137777,anomaly
4.655746651258752,anomaly
11.019363394029572,anomaly
11.908507388407203,anomaly
5.442211245807632,anomaly
10.500385917204126,anomaly
5.443210143045135,anomaly
4.911111493782723,anomaly
5.288192912226527,anomaly
1.8282604363955304,anomaly
5.1069410649842295,anomaly
4.390303312797167,anomaly
6.368087695328493,anomaly
4.343835671214085,anomaly
4.981402581974672,anomaly
4.703165474882788,anomaly
9.495064260309904,anomaly
