value,class
1.3211868705979777,normal
8.859822920548956,normal
4.180093792787417,normal
2.052678434308533,normal
6.474760688052422,normal
15.497670333360496,normal
2.698742053984805,normal
2.8433480036018803,normal
3.320745582451809,normal
3.9098265729487465,normal
32.731470677034544,normal
24.9886707136934,normal
1.2185099683073606,normal
6.381015559277482,normal
2.385215502361142,normal
3.706495576638216,normal
3.586724292965525,normal
1.588886121466052,normal
3.3511688717392576,normal
11.625661530834726,normal
4.722528430945592,normal
2.000421595712913,normal
1.1450416137391484,normal
3.21127516439052,normal
6.255827377828969,normal
2.8531591999058814,normal
6.2531256071145895,normal
1.4225522741733083,normal
3.117834667030841,normal
3.1536093267841943,normal
3.794491693017139,normal
11.35001825990399,normal
1.1460511011398204,normal
7.735414353895829,normal
9.082285070229885,normal
21.320460044411124,normal
3.21127516439052,normal
7.389282696183654,normal
2.925866101966329,normal
0.9884587967890794,normal
2.813061641807993,normal
8.439731611990215,normal
3.614275679156526,normal
3.405355968090248,normal
4.7936831807948685,normal
5.783162672918414,normal
6.493585107981994,normal
6.171038795404166,normal
1.7384926894345831,normal
5.740321278530761,normal
2.93855852251146,normal
3.2179762706545216,normal
4.468616319363141,normal
3.21127516439052,normal
3.908506090076752,normal
2.385215502361142,normal
3.457926405234133,normal
5.384256035718742,normal
1.8643346116449588,normal
2.267697654771186,normal
2.977421003136221,normal
2.8433480036018803,normal
2.986678208403561,normal
2.754932801390011,normal
5.740321278530761,normal
16.251050787396885,normal
5.345810791761258,normal
3.405355968090248,normal
7.59153934429034,normal
1.134341094394535,normal
10.700020792647695,normal
1.7523073563937277,normal
2.385215502361142,normal
1.813343017020138,normal
6.907577245236116,normal
2.000421595712913,normal
5.52288968539965,normal
3.866800865961492,normal
3.4867703236790586,normal
6.259802507881639,normal
4.142290857390584,normal
4.434748056894766,normal
7.010668851396244,normal
2.925866101966329,normal
6.428611972647612,normal
2.349565551990257,normal
4.098583474789828,normal
15.646765095054905,normal
18.5314125956692,normal
2.114810621130913,normal
2.8433480036018803,normal
21.04909731757299,normal
6.785646126047393,normal
1.842543549241895,normal
4.248806858155005,normal
9.456374751106027,normal
8.170042965996569,normal
6.244031598149503,normal
14.67924014951416,normal
4.682816711353746,normal
4.8862501543468015,normal
6.55400099044936,normal
21.849733623260345,normal
3.5631949604800672,normal
1.7380906804163514,normal
2.1191021633813474,normal
33.07299645441792,normal
4.424755042408684,normal
3.3800117881829985,normal
7.99415391327326,normal
6.890785317518276,normal
18.196128982089725,normal
2.0838296975238326,normal
3.002110584087497,normal
15.789608191424888,normal
1.946163200485708,normal
4.954704994571665,normal
11.21307451493331,normal
2.8955147774792067,normal
2.9461849491428183,normal
2.5124105512175365,normal
1.870339311669728,normal
10.64604747279915,normal
4.703182792772499,normal
6.632948416264933,normal
6.217748049761037,normal
2.7514027276304978,normal
4.468616319363141,normal
13.28774242852798,normal
9.022572205670238,normal
2.1001886983293083,normal
7.737202086539005,normal
4.16810896383877,normal
2.6558114716994483,normal
5.663401373976766,normal
6.252898812160043,normal
1.679754281743294,normal
3.2179762706545216,normal
4.419728800452556,normal
1.9482957154632028,normal
2.704254253051092,normal
4.216609692377197,normal
2.495466061099475,normal
2.766203608887813,normal
1.134341094394535,normal
1.9778239851169803,normal
3.21127516439052,normal
2.5199698958407004,normal
1.7021898688782366,normal
2.9085696494922884,normal
9.187405252419587,normal
4.342616349864044,normal
5.806390624149178,normal
2.03290490763821,normal
7.3192385094302495,normal
2.209503787381254,normal
1.9652674283863223,normal
8.04033402475526,normal
4.468616319363141,normal
2.5798250135037915,normal
5.5146134053447655,normal
2.284962051421302,normal
6.23403608974981,normal
3.9512441133757066,normal
6.557763443192509,normal
4.6932670276039,normal
5.311867493594396,normal
1.582999116494468,normal
5.057037488631185,normal
8.216767267727196,normal
1.5608567228746908,normal
1.60021875070138,normal
0.903647814239042,normal
10.45201764873552,normal
7.338843207305006,normal
3.3798598415200782,normal
3.2179762706545216,normal
8.729297594766917,normal
2.1106265059595355,normal
4.230732653641972,normal
2.871739943177228,normal
3.9512441133757066,normal
10.66794399414838,normal
2.2020107354232064,normal
7.460487264833132,normal
3.2179762706545216,normal
1.4696919095682444,normal
6.395897201152881,normal
7.336169990230056,normal
3.619167643097718,normal
4.537457065944121,normal
2.5605233331872195,normal
1.8071102185149628,normal
4.682816711353746,normal
4.926837970969757,normal
7.940964101894645,normal
2.7894992703760995,normal
5.210571874380264,normal
1.842543549241895,normal
4.47033140163607,normal
7.075280018922976,normal
1.901190369419632,normal
1.604219726109252,normal
7.523623111584771,normal
4.440936405432481,normal
1.119851643689327,normal
3.956648452280364,normal
2.385215502361142,normal
7.056579583711698,normal
27.088770740401444,normal
1.7003672718555538,normal
4.753111426657571,normal
9.298520267255595,normal
9.238245987683683,normal
5.8887921888404815,normal
5.162488937784563,normal
8.418157861351906,normal
1.959850031842608,normal
2.2563376931166017,normal
2.3869735910279526,normal
7.764243580094188,normal
11.555986710576535,normal
1.60021875070138,normal
14.514373815202386,normal
7.3794721589713905,normal
